timestamp,cpu_utilization,network_in,network_out,memory_usage,requests,cost_per_hour,anomaly,score
2026-03-21T00:00:00+00:00,7.7118,845.56,592.08,47.29,124,0.0842,1,0.10186760284914975
2026-03-21T00:05:00+00:00,7.6542,636.09,935.35,77.81,241,0.0842,1,0.05801292984374207
2026-03-21T00:10:00+00:00,7.7774,966.97,306.87,30.12,415,0.0842,1,0.005328734879908592
2026-03-21T00:15:00+00:00,9.404,772.21,519.51,68.4,498,0.0842,1,0.05596600645986449
2026-03-21T00:20:00+00:00,7.7448,789.16,392.32,71.38,204,0.0842,1,0.1046043592020226
2026-03-21T00:25:00+00:00,5.0053,382.33,817.04,66.24,438,0.0842,1,0.07572301859277736
2026-03-21T00:30:00+00:00,8.6646,604.52,279.43,39.68,448,0.0842,1,0.07635399689169997
2026-03-21T00:35:00+00:00,7.4653,397.36,718.5,70.61,386,0.0842,1,0.09418384209974018
2026-03-21T00:40:00+00:00,7.5661,888.14,496.07,46.36,181,0.0842,1,0.1099248023866844
2026-03-21T00:45:00+00:00,8.2318,551.1,761.33,38.93,401,0.0842,1,0.10319364203733106
2026-03-21T00:50:00+00:00,8.4646,619.33,925.24,71.79,326,0.0842,1,0.08663036930262719
2026-03-21T00:55:00+00:00,10.3271,442.09,679.03,56.99,271,0.0842,1,0.13288601120154991
2026-03-21T01:00:00+00:00,9.3133,122.79,356.37,53.93,262,0.0842,1,0.08586985184357304
2026-03-21T01:05:00+00:00,8.221,179.99,336.84,46.11,336,0.0842,1,0.0901468280954194
2026-03-21T01:10:00+00:00,6.5234,311.03,312.47,54.17,339,0.0842,1,0.10673921210194776
2026-03-21T01:15:00+00:00,5.9707,689.01,367.85,35.09,369,0.0842,1,0.09514941334861027
2026-03-21T01:20:00+00:00,8.4927,923.96,110.92,50.85,408,0.0842,1,0.03408778344636898
2026-03-21T01:25:00+00:00,10.6222,156.33,560.77,78.32,87,0.0842,1,0.009615472183278295
2026-03-21T01:30:00+00:00,8.0833,642.29,595.71,72.07,155,0.0842,1,0.10693078559931635
2026-03-21T01:35:00+00:00,7.7874,464.84,527.17,46.55,196,0.0842,1,0.1271810262381754
2026-03-21T01:40:00+00:00,9.0636,352.05,949.73,30.18,465,0.0842,1,0.0076933110230162915
2026-03-21T01:45:00+00:00,5.0929,288.72,355.28,52.89,365,0.0842,1,0.10299392810822594
2026-03-21T01:50:00+00:00,7.3754,537.04,771.8,30.41,346,0.0842,1,0.0777106229698784
2026-03-21T01:55:00+00:00,8.9807,102.09,219.43,59.35,248,0.0842,1,0.06787567594971483
2026-03-21T02:00:00+00:00,9.7468,639.12,252.1,39.81,213,0.0842,1,0.1042329912263944
2026-03-21T02:05:00+00:00,7.5187,972.46,713.94,79.0,194,0.0842,1,0.030910867598611835
2026-03-21T02:10:00+00:00,8.7532,154.58,938.31,70.07,479,0.0842,1,0.017432881152552038
2026-03-21T02:15:00+00:00,8.4964,516.28,852.27,45.96,218,0.0842,1,0.1046550497491176
2026-03-21T02:20:00+00:00,9.5647,464.11,584.41,46.56,334,0.0842,1,0.12431584690563713
2026-03-21T02:25:00+00:00,5.7736,143.95,723.33,62.94,245,0.0842,1,0.08279313715103348
2026-03-21T02:30:00+00:00,9.1365,862.9,642.47,31.59,143,0.0842,1,0.06339548479420798
2026-03-21T02:35:00+00:00,4.971,972.57,767.77,64.8,407,0.0842,1,0.05503657034718212
2026-03-21T02:40:00+00:00,2.7601,774.12,113.36,60.95,228,0.0842,1,0.0473828800311441
2026-03-21T02:45:00+00:00,6.7862,832.15,136.94,57.66,232,0.0842,1,0.08426060945056668
2026-03-21T02:50:00+00:00,6.1684,836.76,905.91,38.85,172,0.0842,1,0.07496637111384191
2026-03-21T02:55:00+00:00,9.752,631.6,168.82,30.8,426,0.0842,1,0.026181410195184607
2026-03-21T03:00:00+00:00,9.3285,235.66,673.51,42.88,372,0.0842,1,0.09842473877721519
2026-03-21T03:05:00+00:00,5.5619,878.14,495.37,74.5,332,0.0842,1,0.07641412898109601
2026-03-21T03:10:00+00:00,9.6947,770.84,123.74,72.06,373,0.0842,1,0.05902859843163133
2026-03-21T03:15:00+00:00,5.9956,702.88,149.29,35.46,335,0.0842,1,0.07149103894845288
2026-03-21T03:20:00+00:00,7.8275,260.61,839.27,64.13,363,0.0842,1,0.07913900433337884
2026-03-21T03:25:00+00:00,7.4122,207.71,175.4,73.23,236,0.0842,1,0.06359878510800365
2026-03-21T03:30:00+00:00,8.2288,318.47,617.61,53.58,377,0.0842,1,0.11409151316374416
2026-03-21T03:35:00+00:00,9.6373,382.57,150.53,54.91,405,0.0842,1,0.08933488288311625
2026-03-21T03:40:00+00:00,9.2768,969.18,499.27,54.24,159,0.0842,1,0.09322404818328894
2026-03-21T03:45:00+00:00,8.6998,858.34,342.6,60.42,148,0.0842,1,0.1071697719670977
2026-03-21T03:50:00+00:00,9.2999,162.12,310.99,53.37,424,0.0842,1,0.07725594732111735
2026-03-21T03:55:00+00:00,8.957,339.5,961.74,34.85,253,0.0842,1,0.05993606179384403
2026-03-21T04:00:00+00:00,6.746,791.05,223.25,56.85,94,0.0842,1,0.08826526866046303
2026-03-21T04:05:00+00:00,6.5653,321.99,516.49,66.77,87,0.0842,1,0.0668342388468911
2026-03-21T04:10:00+00:00,7.0601,465.5,838.39,49.2,196,0.0842,1,0.10831577434695477
2026-03-21T04:15:00+00:00,8.9987,597.05,475.27,45.92,230,0.0842,1,0.13292084524278103
2026-03-21T04:20:00+00:00,7.4998,106.49,843.65,31.71,246,0.0842,1,0.01862632602415837
2026-03-21T04:25:00+00:00,12.6715,829.42,266.43,45.86,470,0.0842,1,0.05596133599944697
2026-03-21T04:30:00+00:00,6.3614,193.75,572.65,64.44,411,0.0842,1,0.06551361063248223
2026-03-21T04:35:00+00:00,5.8023,690.72,648.76,57.65,423,0.0842,1,0.10652454285459051
2026-03-21T04:40:00+00:00,9.5369,913.3,844.43,67.78,216,0.0842,1,0.07479730501650705
2026-03-21T04:45:00+00:00,10.8437,341.89,660.06,51.81,155,0.0842,1,0.1176322515008873
2026-03-21T04:50:00+00:00,9.0114,722.91,389.49,59.59,80,0.0842,1,0.08882628368741391
2026-03-21T04:55:00+00:00,9.6716,563.0,217.74,52.23,388,0.0842,1,0.10355594813250885
2026-03-21T05:00:00+00:00,10.8527,617.13,177.09,55.01,416,0.0842,1,0.0905073429238979
2026-03-21T05:05:00+00:00,7.8119,792.15,272.49,59.32,242,0.0842,1,0.119418474283767
2026-03-21T05:10:00+00:00,5.1541,916.51,952.93,63.34,490,0.0842,1,0.024310792331583397
2026-03-21T05:15:00+00:00,6.9358,986.35,355.46,37.26,104,0.0842,1,0.03598382360881014
2026-03-21T05:20:00+00:00,9.9058,231.44,595.28,76.19,313,0.0842,1,0.06873532881906763
2026-03-21T05:25:00+00:00,5.1126,615.49,351.0,55.6,315,0.0842,1,0.12154478909124511
2026-03-21T05:30:00+00:00,8.0671,735.53,891.36,49.72,393,0.0842,1,0.08792802887237922
2026-03-21T05:35:00+00:00,8.5065,425.27,782.13,54.43,307,0.0842,1,0.12159492791902698
2026-03-21T05:40:00+00:00,7.3688,933.61,857.95,32.25,103,0.0842,1,0.03149237753920453
2026-03-21T05:45:00+00:00,9.4473,424.68,790.35,44.51,373,0.0842,1,0.11268239679552278
2026-03-21T05:50:00+00:00,9.1616,680.02,469.03,45.53,183,0.0842,1,0.12344083121271682
2026-03-21T05:55:00+00:00,12.6428,618.79,539.11,36.48,398,0.0842,1,0.08337131225797101
2026-03-21T06:00:00+00:00,9.2399,942.24,501.06,55.23,463,0.0842,1,0.06061686919324083
2026-03-21T06:05:00+00:00,6.7812,156.06,519.99,56.25,458,0.0842,1,0.0648545089623041
2026-03-21T06:10:00+00:00,6.8764,572.97,294.19,42.84,235,0.0842,1,0.11880187986032698
2026-03-21T06:15:00+00:00,6.3368,883.06,366.38,46.71,355,0.0842,1,0.10275822667959733
2026-03-21T06:20:00+00:00,9.9045,174.3,519.17,32.35,187,0.0842,1,0.059066489398937216
2026-03-21T06:30:00+00:00,7.8595,484.34,200.09,56.65,121,0.0842,1,0.09790804187735475
2026-03-21T06:35:00+00:00,9.4986,219.42,384.97,56.3,167,0.0842,1,0.10111715181462833
2026-03-21T06:40:00+00:00,6.5531,368.43,933.31,65.13,388,0.0842,1,0.08701243882357229
2026-03-21T06:45:00+00:00,7.4127,518.67,902.19,37.19,108,0.0842,1,0.07100674303943583
2026-03-21T06:50:00+00:00,4.3174,689.55,256.14,40.86,376,0.0842,1,0.09640153481952696
2026-03-21T06:55:00+00:00,5.835,696.27,599.32,61.81,58,0.0842,1,0.06771247891028248
2026-03-21T07:00:00+00:00,6.8645,306.21,985.47,46.79,275,0.0842,1,0.06697462855993452
2026-03-21T07:05:00+00:00,8.8315,776.58,980.19,60.94,315,0.0842,1,0.08756097435822113
2026-03-21T07:10:00+00:00,10.387,334.08,128.39,78.6,82,0.0842,-1,-0.007552690484156743
2026-03-21T07:15:00+00:00,7.9631,388.07,490.03,54.61,477,0.0842,1,0.07920269744681979
2026-03-21T07:20:00+00:00,8.5227,577.6,376.28,68.78,369,0.0842,1,0.11110111416952989
2026-03-21T07:25:00+00:00,8.3359,317.91,911.1,34.86,226,0.0842,1,0.07246425854062782
2026-03-21T07:30:00+00:00,10.1695,126.84,539.44,73.94,139,0.0842,1,0.054483118245788
2026-03-21T07:35:00+00:00,9.7867,239.96,768.0,45.89,97,0.0842,1,0.06484082979070865
2026-03-21T07:40:00+00:00,8.5474,323.18,885.91,43.66,131,0.0842,1,0.07295210861997858
2026-03-21T07:45:00+00:00,5.9781,832.32,890.86,61.93,176,0.0842,1,0.08412662364977364
2026-03-21T07:50:00+00:00,9.8068,571.79,310.06,68.53,92,0.0842,1,0.08315371395876259
2026-03-21T07:55:00+00:00,8.7621,171.82,522.07,66.56,218,0.0842,1,0.09377534428192263
2026-03-21T08:00:00+00:00,31.8206,796.5,638.84,53.88,483,0.0842,1,0.06897482491877438
2026-03-21T08:05:00+00:00,29.8467,159.28,848.41,35.31,114,0.0842,1,0.03173267721799389
2026-03-21T08:10:00+00:00,32.6907,891.86,441.95,54.41,190,0.0842,1,0.09239395275117257
2026-03-21T08:15:00+00:00,25.2293,800.09,173.88,39.35,500,0.0842,1,0.035249592801371965
2026-03-21T08:20:00+00:00,40.5399,423.28,536.87,64.6,366,0.0842,1,0.07357705322032138
2026-03-21T08:25:00+00:00,36.1333,703.97,356.11,48.11,55,0.0842,1,0.051901646883138586
2026-03-21T08:30:00+00:00,36.2658,317.61,718.97,34.18,205,0.0842,1,0.06681518995506452
2026-03-21T08:35:00+00:00,28.7004,590.32,975.53,61.44,242,0.0842,1,0.07546095663830554
2026-03-21T08:40:00+00:00,31.9861,539.82,947.54,52.52,68,0.0842,1,0.028486107277021167
2026-03-21T08:45:00+00:00,25.6694,605.93,875.86,37.15,233,0.0842,1,0.08243545900415755
2026-03-21T08:50:00+00:00,40.1707,905.76,785.94,34.79,233,0.0842,1,0.034950027579344844
2026-03-21T09:00:00+00:00,24.5523,138.24,355.33,66.72,445,0.0842,1,0.029185738407055406
2026-03-21T09:05:00+00:00,24.7423,304.48,531.69,78.88,293,0.0842,1,0.05159907037684164
2026-03-21T09:10:00+00:00,32.0191,850.13,903.7,70.54,215,0.0842,1,0.07119984708183097
2026-03-21T09:15:00+00:00,33.685,812.63,196.85,43.42,497,0.0842,1,0.04483717339370641
2026-03-21T09:20:00+00:00,24.1804,103.14,145.23,62.14,193,0.0842,1,0.0352718762351506
2026-03-21T09:25:00+00:00,33.9389,118.83,341.49,32.19,455,0.0842,-1,-0.012113366371498402
2026-03-21T09:30:00+00:00,21.9145,719.39,721.07,31.92,288,0.0842,1,0.051839099357957164
2026-03-21T09:35:00+00:00,35.5481,463.13,684.23,63.77,435,0.0842,1,0.06765037961508163
2026-03-21T09:40:00+00:00,36.2743,334.07,825.26,41.56,252,0.0842,1,0.08487941428247148
2026-03-21T09:45:00+00:00,28.8701,143.93,565.4,54.25,194,0.0842,1,0.08781082408691376
2026-03-21T09:55:00+00:00,44.1216,921.58,800.0,34.75,72,0.0842,-1,-0.017581146784909074
2026-03-21T10:00:00+00:00,33.9224,317.14,135.34,41.22,316,0.0842,1,0.06659693162346064
2026-03-21T10:05:00+00:00,29.6272,531.67,261.39,63.19,260,0.0842,1,0.10868493496347614
2026-03-21T10:10:00+00:00,36.9438,131.77,581.64,56.35,493,0.0842,1,0.01668369188537655
2026-03-21T10:15:00+00:00,31.7351,130.77,185.4,68.14,226,0.0842,1,0.04548159204259139
2026-03-21T10:20:00+00:00,34.7471,197.53,255.97,42.55,132,0.0842,1,0.05515641278952066
2026-03-21T10:25:00+00:00,34.95,590.6,551.09,77.86,212,0.0842,1,0.06434138887492191
2026-03-21T10:30:00+00:00,38.8003,525.82,307.89,55.57,496,0.0842,1,0.047624163552959065
2026-03-21T10:35:00+00:00,36.1989,824.0,982.04,31.99,102,0.0842,-1,-0.00489521151506378
2026-03-21T10:40:00+00:00,35.6556,672.88,931.18,69.34,496,0.0842,1,0.025089411441751808
2026-03-21T10:45:00+00:00,44.9168,372.73,246.65,50.13,287,0.0842,1,0.04883028753453755
2026-03-21T10:50:00+00:00,30.2242,277.58,793.51,75.49,361,0.0842,1,0.04906026717859435
2026-03-21T10:55:00+00:00,40.8966,602.01,485.44,48.48,95,0.0842,1,0.062797854154232
2026-03-21T11:00:00+00:00,35.1163,549.74,101.98,58.18,115,0.0842,1,0.04396238726159862
2026-03-21T11:05:00+00:00,28.9228,710.57,265.11,55.63,497,0.0842,1,0.059623939704346984
2026-03-21T11:10:00+00:00,33.7965,444.9,830.68,42.02,160,0.0842,1,0.09518535617085527
2026-03-21T11:15:00+00:00,28.3519,720.16,420.28,72.55,426,0.0842,1,0.06428217960379279
2026-03-21T11:20:00+00:00,35.6454,583.03,418.68,34.96,251,0.0842,1,0.08377004102887708
2026-03-21T11:25:00+00:00,35.1093,201.06,552.99,51.33,414,0.0842,1,0.0610858892691607
2026-03-21T11:30:00+00:00,23.1018,569.5,742.52,76.22,216,0.0842,1,0.07439288971493402
2026-03-21T11:35:00+00:00,31.7287,270.96,912.58,51.14,88,0.0842,1,0.03359395050978098
2026-03-21T11:40:00+00:00,35.1377,308.27,532.75,34.69,149,0.0842,1,0.06845087244993475
2026-03-21T11:45:00+00:00,28.5348,694.06,252.27,34.17,67,0.0842,1,0.04393760870369945
2026-03-21T11:50:00+00:00,38.0904,304.54,455.72,37.63,189,0.0842,1,0.07188425576784752
2026-03-21T11:55:00+00:00,34.2853,428.35,951.69,60.55,453,0.0842,1,0.043770893812502876
2026-03-21T12:00:00+00:00,45.5961,302.28,990.83,49.24,302,0.0842,1,0.011719647425078028
2026-03-21T12:05:00+00:00,36.1717,419.51,223.79,78.76,65,0.0842,1,0.0235798765330959
2026-03-21T12:10:00+00:00,31.3988,863.9,294.33,39.0,342,0.0842,1,0.08208704921129145
2026-03-21T12:15:00+00:00,31.9486,290.7,550.88,43.19,434,0.0842,1,0.08108641846677378
2026-03-21T12:20:00+00:00,29.3471,286.94,424.13,48.96,241,0.0842,1,0.10012932232737509
2026-03-21T12:25:00+00:00,29.0549,318.01,261.28,72.45,321,0.0842,1,0.0773792390899834
2026-03-21T12:30:00+00:00,32.3749,966.79,819.65,63.98,329,0.0842,1,0.05286905663937891
2026-03-21T12:35:00+00:00,33.2149,153.59,475.57,49.13,210,0.0842,1,0.08753015606457615
2026-03-21T12:45:00+00:00,42.4574,893.5,705.0,38.37,311,0.0842,1,0.057647169586363844
2026-03-21T12:50:00+00:00,33.7552,195.61,942.84,33.32,403,0.0842,1,0.0091069146565681
2026-03-21T12:55:00+00:00,26.7816,806.18,431.15,54.85,342,0.0842,1,0.107896838568809
2026-03-21T13:05:00+00:00,36.16,113.01,803.63,53.38,284,0.0842,1,0.048046628868781416
2026-03-21T13:10:00+00:00,30.4579,579.74,148.34,74.49,268,0.0842,1,0.06589391692856916
2026-03-21T13:15:00+00:00,29.3898,971.24,207.13,45.11,156,0.0842,1,0.05915500137468599
2026-03-21T13:20:00+00:00,34.794,638.81,324.46,31.1,195,0.0842,1,0.0561793618907237
2026-03-21T13:25:00+00:00,31.7897,424.06,281.16,61.66,50,0.0842,1,0.04249679425354014
2026-03-21T13:30:00+00:00,44.7593,760.43,738.15,38.61,199,0.0842,1,0.05642549962607024
2026-03-21T13:35:00+00:00,33.8558,141.85,196.49,63.61,51,0.0842,-1,-0.006406876192679101
2026-03-21T13:40:00+00:00,26.9405,684.07,468.22,59.94,494,0.0842,1,0.06540949935638324
2026-03-21T13:45:00+00:00,35.0192,640.68,618.71,56.24,266,0.0842,1,0.109270464933865
2026-03-21T13:50:00+00:00,29.1307,936.18,107.18,30.38,285,0.0842,-1,-0.017834191720891623
